	model	promptIndex	disconcordant
0	gpt-3.5-turbo	0	61
1	gpt-3.5-turbo	1	57
2	gpt-3.5-turbo	2	56
3	gpt-3.5-turbo	3	52
4	gpt-3.5-turbo	4	61
5	gpt-3.5-turbo	5	53
6	gpt-3.5-turbo	6	61
7	gpt-3.5-turbo	7	55
8	gpt-3.5-turbo	8	58
9	gpt-3.5-turbo	9	57
10	gpt-3.5-turbo	10	56
11	gpt-3.5-turbo	11	53
12	gpt-3.5-turbo	12	54
13	gpt-3.5-turbo	13	37
14	gpt-3.5-turbo	14	60
15	gpt-3.5-turbo	15	52
16	gpt-3.5-turbo	16	52
17	gpt-3.5-turbo	17	59
18	gpt-3.5-turbo	18	57
19	gpt-3.5-turbo	19	52
20	gpt-4-turbo	0	32
21	gpt-4-turbo	1	43
22	gpt-4-turbo	2	59
23	gpt-4-turbo	3	39
24	gpt-4-turbo	4	57
25	gpt-4-turbo	5	39
26	gpt-4-turbo	6	52
27	gpt-4-turbo	7	58
28	gpt-4-turbo	8	40
29	gpt-4-turbo	9	35
30	gpt-4-turbo	10	29
31	gpt-4-turbo	11	21
32	gpt-4-turbo	12	26
33	gpt-4-turbo	13	15
34	gpt-4-turbo	14	47
35	gpt-4-turbo	15	43
36	gpt-4-turbo	16	36
37	gpt-4-turbo	17	44
38	gpt-4-turbo	18	38
39	gpt-4-turbo	19	34
40	gemini-1.0-pro-001	0	1
41	gemini-1.0-pro-001	1	3
42	gemini-1.0-pro-001	2	0
43	gemini-1.0-pro-001	3	0
44	gemini-1.0-pro-001	4	8
45	gemini-1.0-pro-001	5	1
46	gemini-1.0-pro-001	6	1
47	gemini-1.0-pro-001	7	2
48	gemini-1.0-pro-001	8	1
49	gemini-1.0-pro-001	9	1
50	gemini-1.0-pro-001	10	0
51	gemini-1.0-pro-001	11	2
52	gemini-1.0-pro-001	12	0
53	gemini-1.0-pro-001	13	2
54	gemini-1.0-pro-001	14	0
55	gemini-1.0-pro-001	15	1
56	gemini-1.0-pro-001	16	1
57	gemini-1.0-pro-001	17	5
58	gemini-1.0-pro-001	18	0
59	gemini-1.0-pro-001	19	1
60	meta/meta-llama-3-70b-instruct	0	4
61	meta/meta-llama-3-70b-instruct	1	3
62	meta/meta-llama-3-70b-instruct	2	5
63	meta/meta-llama-3-70b-instruct	3	0
64	meta/meta-llama-3-70b-instruct	4	4
65	meta/meta-llama-3-70b-instruct	5	7
66	meta/meta-llama-3-70b-instruct	6	5
67	meta/meta-llama-3-70b-instruct	7	2
68	meta/meta-llama-3-70b-instruct	8	4
69	meta/meta-llama-3-70b-instruct	9	11
70	meta/meta-llama-3-70b-instruct	10	9
71	meta/meta-llama-3-70b-instruct	11	1
72	meta/meta-llama-3-70b-instruct	12	4
73	meta/meta-llama-3-70b-instruct	13	6
74	meta/meta-llama-3-70b-instruct	14	4
75	meta/meta-llama-3-70b-instruct	15	4
76	meta/meta-llama-3-70b-instruct	16	7
77	meta/meta-llama-3-70b-instruct	17	8
78	meta/meta-llama-3-70b-instruct	18	6
79	meta/meta-llama-3-70b-instruct	19	5
