	model	promptIndex	parsefail
0	gpt-3.5-turbo	0	0
1	gpt-3.5-turbo	1	0
2	gpt-3.5-turbo	2	0
3	gpt-3.5-turbo	3	0
4	gpt-3.5-turbo	4	0
5	gpt-3.5-turbo	5	0
6	gpt-3.5-turbo	6	0
7	gpt-3.5-turbo	7	0
8	gpt-3.5-turbo	8	0
9	gpt-3.5-turbo	9	0
10	gpt-3.5-turbo	10	0
11	gpt-3.5-turbo	11	0
12	gpt-3.5-turbo	12	0
13	gpt-3.5-turbo	13	0
14	gpt-3.5-turbo	14	0
15	gpt-3.5-turbo	15	0
16	gpt-3.5-turbo	16	0
17	gpt-3.5-turbo	17	0
18	gpt-3.5-turbo	18	0
19	gpt-3.5-turbo	19	0
20	gpt-4-turbo	0	0
21	gpt-4-turbo	1	0
22	gpt-4-turbo	2	4
23	gpt-4-turbo	3	0
24	gpt-4-turbo	4	1
25	gpt-4-turbo	5	1
26	gpt-4-turbo	6	2
27	gpt-4-turbo	7	2
28	gpt-4-turbo	8	0
29	gpt-4-turbo	9	0
30	gpt-4-turbo	10	0
31	gpt-4-turbo	11	0
32	gpt-4-turbo	12	0
33	gpt-4-turbo	13	0
34	gpt-4-turbo	14	2
35	gpt-4-turbo	15	0
36	gpt-4-turbo	16	0
37	gpt-4-turbo	17	1
38	gpt-4-turbo	18	0
39	gpt-4-turbo	19	0
40	gemini-1.0-pro-001	0	5
41	gemini-1.0-pro-001	1	0
42	gemini-1.0-pro-001	2	0
43	gemini-1.0-pro-001	3	0
44	gemini-1.0-pro-001	4	1
45	gemini-1.0-pro-001	5	0
46	gemini-1.0-pro-001	6	0
47	gemini-1.0-pro-001	7	0
48	gemini-1.0-pro-001	8	0
49	gemini-1.0-pro-001	9	10
50	gemini-1.0-pro-001	10	9
51	gemini-1.0-pro-001	11	0
52	gemini-1.0-pro-001	12	0
53	gemini-1.0-pro-001	13	0
54	gemini-1.0-pro-001	14	9
55	gemini-1.0-pro-001	15	0
56	gemini-1.0-pro-001	16	0
57	gemini-1.0-pro-001	17	12
58	gemini-1.0-pro-001	18	1
59	gemini-1.0-pro-001	19	2
60	meta/meta-llama-3-70b-instruct	0	11
61	meta/meta-llama-3-70b-instruct	1	4
62	meta/meta-llama-3-70b-instruct	2	6
63	meta/meta-llama-3-70b-instruct	3	0
64	meta/meta-llama-3-70b-instruct	4	1
65	meta/meta-llama-3-70b-instruct	5	1
66	meta/meta-llama-3-70b-instruct	6	0
67	meta/meta-llama-3-70b-instruct	7	0
68	meta/meta-llama-3-70b-instruct	8	0
69	meta/meta-llama-3-70b-instruct	9	57
70	meta/meta-llama-3-70b-instruct	10	58
71	meta/meta-llama-3-70b-instruct	11	0
72	meta/meta-llama-3-70b-instruct	12	1
73	meta/meta-llama-3-70b-instruct	13	34
74	meta/meta-llama-3-70b-instruct	14	4
75	meta/meta-llama-3-70b-instruct	15	8
76	meta/meta-llama-3-70b-instruct	16	5
77	meta/meta-llama-3-70b-instruct	17	46
78	meta/meta-llama-3-70b-instruct	18	2
79	meta/meta-llama-3-70b-instruct	19	3
